7.19906628001437787e-01,	1.83250823399634477e+00,	0
1.37899419263889733e+01,	1.78198235122579263e+00,	1
6.68859485848275703e-01,	2.14083320956715983e+00,	0
1.84729928795588165e+01,	2.25024702760868101e+00,	1
9.22802773268335819e-01,	1.61469358350834513e+00,	0
2.06209849662245204e-01,	6.34699695340683490e-01,	1
4.01062068250524817e-01,	1.65802752932441777e+00,	0
5.02985607135568635e+00,	1.39976642741810831e+00,	1
3.66471199955079319e-01,	1.62780588172739638e+00,	0
1.56912570240400999e+01,	2.16941541650770953e+00,	1
9.98909584711729304e-01,	2.00337906391517206e+00,	0
1.31430438780891912e+01,	1.34410346059319719e+00,	1
3.41572957272442523e-01,	1.16758463655951639e+00,	0
9.53941410851637528e-01,	6.30271704462483373e-01,	1
7.07135529120981432e-01,	2.17763537339756041e+00,	0
9.68899714280338742e+00,	1.26922579378319256e+00,	1
9.82393905512240706e-01,	2.36790583090293483e+00,	0
1.31583349281727973e+01,	1.45115094722767868e+00,	1
3.80991188521027202e-01,	9.05379134419085019e-01,	0
1.86057436180327755e+01,	2.26941891469499968e+00,	1
