2.8532,0.6808,-18,6.5,-26.23,-273.67,3.1747,1.4824,2.0161,-11.142,-31.166,0,-1.0324,-8.2685,3.48,8.545,6.575,-7.89,1.9919,-7,1
-1.9184,0.1004,-10,7.8,-0.06,-136.03,3.7993,1.4824,1.3823,-29.897,-14.33,0,-1.6211,-4.5408,16.08,12.505,-5.02,4.11,-0.165,7,1
0.1164,0.6281,-23,-1.3,-60.88,-346.74,5.2003,1.4824,1.9077,2.1252,-19.249,-1,-11.158,-22.757,4.88,-7.405,-13.715,-3.29,1.3294,-7,1
-0.7718,0.3601,-22,9.2,-21.59,143.49,3.8208,1.4824,-2.136,-8.5956,-30.202,0,-8.6241,-24.052,3.36,12.1,6.655,-0.99,2.2053,0,1
1.4816,0.2337,-13,8.4,-0.25,-55.503,6.6527,1.4824,-1.854,-14.705,-4.5099,0,-1.424,-1.9385,6.56,21.345,-2.275,7.4,1.9669,16,1
3.7953,0.69,-14,7.1,-4.12,123.56,2.5956,1.4824,-3.6238,-9.9252,-11.819,0,3.7403,-8.2268,8.2,31.3,7.1,7.96,2.7639,18,1
3.1939,1.2112,-18,4.6,-25.11,-143.72,6.1855,0.77,2.6974,-27.136,-6.9822,-1,1.6406,-16.501,4.18,2.085,-10.42,0.53,3.4705,12,1
3.9492,0.5105,-14,5.1,-14.15,-242.03,5.2163,1.0224,0.7216,-7.957,-9.915,0,-8.0924,-8.0587,8.16,12.33,-1.485,11.44,-0.6739,-4,1
0.3035,0.9629,-19,4.1,-28.05,269.66,2.6846,1.4824,3.0856,-9.1005,-6.3619,-1,-0.2753,-15.197,9.84,46.125,1.19,6.43,0.9601,5,1
0.6095,0.6779,-14,9.4,-8.18,139.34,3.0115,0.8171,3.0116,12.95,-4.6328,-1,-9.2666,-17.378,11.28,-4.06,-2.32,13.29,0.5298,0,1
0.0578,1.3971,-24,-12.1,-100.13,-553.18,2.3804,-0.5607,4.5496,-24.574,-24.968,-1,-13.534,-31.45,1.54,-13.05,-11.725,-2.55,1.8087,10,1
-0.6689,0.8734,-26,-6.5,-95.66,-240.78,2.4267,0.4082,4.2012,-22.097,-32.029,-1,-8.3703,-14.775,4.44,-9.595,-3.515,0.42,-0.6312,8,1
1.4364,1.1872,-25,1.1,-82.04,-656.14,-0.5361,-2.3128,1.1614,-22.232,-32.982,0,-9.8392,-14.18,-1.88,-0.405,-19.145,3,1.496,5,1
1.5446,0.5668,-9,9.5,-4.77,-66.657,1.3096,1.4824,-0.7958,-8.4602,-7.4497,0,-1.336,-27.886,16.92,24.72,10.05,8.64,3.5514,-3,1
1.6569,0.4829,-12,3.5,2.1201,97.154,3.966,1.4824,1.7676,-12.865,-16.807,0,-5.3262,-7.5318,11.58,18.385,-10.25,24.43,-0.1974,11,1
1.1276,0.6559,-27,0.2,-68.29,-303.81,4.0798,1.4824,3.2582,-11.537,-18.762,-1,-12.55,-4.8159,6.24,1.26,-8.015,-4.88,1.1166,0,1
-0.2385,0.8541,-27,-1,-84.24,-124.34,5.9478,1.4824,5.4481,-26.102,-32.728,-1,-8.7935,2.9183,-3.08,0.68,-8.745,-4.54,-0.7483,2,1
1.674,0.794,-24,-4.4,-104.93,-494.35,2.4775,1.4824,1.7966,-21.683,-30.898,-1,-11.534,-27.373,-1.72,10.935,-11.815,-8.29,-0.5585,10,1
4.8013,1.7243,-14,5.1,8.42,-121.1,6.7999,0.8452,6.7354,1.383,-12.322,0,-7.1302,-11.964,12.08,8.52,2.49,15.03,2.5201,10,1
2.8751,1.1144,-17,13.9,22.78,13.989,6.0753,1.4824,3.4086,-8.6642,-14.546,0,-8.7346,-8.2426,11.06,22.385,-11.82,10.87,-0.1287,15,1
0.1804,1.6302,-26,-6.4,-81.28,-529.73,2.0123,1.0011,2.1322,-38.049,-22.548,-1,-17.921,-29.786,-4.2,-5.885,-12.065,-0.18,3.7498,8,1
3.5925,0.9503,-30,-1.5,-103.37,-746.75,1.1651,1.4824,3.4984,-17.618,-32.538,0,-10.865,-24.207,-2.2,-24.595,-15.61,-7.22,1.2116,21,1
0.9243,0.7513,-27,-7.6,-63.64,-485.78,0.6252,1.4824,1.1947,-21.864,-25.204,-1,-14.659,-12.942,-4.62,16.49,-14.545,9.77,1.1461,6,1
1.7031,0.8509,-18,3.4,-10.8,-432.61,6.5429,1.4824,5.7177,-9.5417,-8.6142,-1,-12.097,-21.097,18.88,7.61,-8.975,13.12,1.56,6,1
0.9263,1.177,-20,1.9,-19.44,77.299,6.0655,1.4824,6.1427,-11.998,-13.519,-1,3.5971,-19.15,12.2,7.31,10.46,9.14,1.2721,-3,1
