  -10.0000   -0.0544
   -9.7980   -0.0372
   -9.5960   -0.0178
   -9.3939    0.0033
   -9.1919    0.0251
   -8.9899    0.0469
   -8.7879    0.0677
   -8.5859    0.0866
   -8.3838    0.1029
   -8.1818    0.1157
   -7.9798    0.1243
   -7.7778    0.1282
   -7.5758    0.1269
   -7.3737    0.1203
   -7.1717    0.1082
   -6.9697    0.0909
   -6.7677    0.0688
   -6.5657    0.0425
   -6.3636    0.0126
   -6.1616   -0.0197
   -5.9596   -0.0534
   -5.7576   -0.0871
   -5.5556   -0.1197
   -5.3535   -0.1497
   -5.1515   -0.1757
   -4.9495   -0.1964
   -4.7475   -0.2105
   -4.5455   -0.2169
   -4.3434   -0.2147
   -4.1414   -0.2032
   -3.9394   -0.1817
   -3.7374   -0.1501
   -3.5354   -0.1085
   -3.3333   -0.0572
   -3.1313    0.0033
   -2.9293    0.0719
   -2.7273    0.1476
   -2.5253    0.2289
   -2.3232    0.3142
   -2.1212    0.4018
   -1.9192    0.4897
   -1.7172    0.5761
   -1.5152    0.6590
   -1.3131    0.7364
   -1.1111    0.8066
   -0.9091    0.8678
   -0.7071    0.9187
   -0.5051    0.9580
   -0.3030    0.9848
   -0.1010    0.9983
    0.1010    0.9983
    0.3030    0.9848
    0.5051    0.9580
    0.7071    0.9187
    0.9091    0.8678
    1.1111    0.8066
    1.3131    0.7364
    1.5152    0.6590
    1.7172    0.5761
    1.9192    0.4897
    2.1212    0.4018
    2.3232    0.3142
    2.5253    0.2289
    2.7273    0.1476
    2.9293    0.0719
    3.1313    0.0033
    3.3333   -0.0572
    3.5354   -0.1085
    3.7374   -0.1501
    3.9394   -0.1817
    4.1414   -0.2032
    4.3434   -0.2147
    4.5455   -0.2169
    4.7475   -0.2105
    4.9495   -0.1964
    5.1515   -0.1757
    5.3535   -0.1497
    5.5556   -0.1197
    5.7576   -0.0871
    5.9596   -0.0534
    6.1616   -0.0197
    6.3636    0.0126
    6.5657    0.0425
    6.7677    0.0688
    6.9697    0.0909
    7.1717    0.1082
    7.3737    0.1203
    7.5758    0.1269
    7.7778    0.1282
    7.9798    0.1243
    8.1818    0.1157
    8.3838    0.1029
    8.5859    0.0866
    8.7879    0.0677
    8.9899    0.0469
    9.1919    0.0251
    9.3939    0.0033
    9.5960   -0.0178
    9.7980   -0.0372
   10.0000   -0.0544
