    0.4146    0.2714         0
    0.5840    0.4715         0
   -0.2910    1.0437    1.0000
   -0.1721    1.0088    1.0000
   -0.4581    0.7797    1.0000
    0.3832    0.7560    1.0000
   -0.9518   -0.0377         0
   -0.6253    0.0710         0
    0.4753    0.2248         0
   -0.1168    0.8785    1.0000
   -0.0724    0.3338         0
   -0.1917    0.8094    1.0000
   -0.6169    0.2551         0
   -0.6010    0.0506         0
   -0.7678    0.2361         0
    0.4357    0.4469    1.0000
    0.2409    0.7195         0
   -0.3665    0.6483    1.0000
    0.3534    0.7732    1.0000
   -0.0706    1.0030    1.0000
   -0.8277    0.3619         0
   -0.7140    0.3087         0
    0.0762    0.3539    1.0000
   -0.1134    0.6007    1.0000
   -0.7209    0.1968         0
   -0.1373    0.7125    1.0000
    0.0284    0.7579    1.0000
    0.2364    0.5154         0
   -0.5914    0.3023         0
   -0.8077    0.4149         0
    0.3123    0.9076    1.0000
   -0.2191    0.8348    1.0000
   -0.4400    0.5210    1.0000
    0.5731    0.4095    1.0000
    0.0935    0.6731    1.0000
   -0.1409    0.3925         0
    0.5738    0.6371    1.0000
   -0.4266    0.6472         0
   -0.3472    0.7018    1.0000
   -0.2528    0.7053    1.0000
    0.6568    0.7577    1.0000
    0.1785    0.4469         0
   -0.9660    0.1793         0
   -0.8025    0.6688         0
   -0.5312    0.4265         0
    0.2153    0.6026    1.0000
   -0.8788    0.4506         0
   -0.5408    0.6529    1.0000
   -0.4376    0.8781    1.0000
    0.1802    0.4620         0
    0.2520    0.1703         0
   -0.2584    0.6719    1.0000
    0.3726    0.4979    1.0000
   -0.1519    0.8122    1.0000
   -0.6986    0.3857         0
   -0.2520    0.6736    1.0000
    0.3183    0.0879         0
   -0.6471    0.1592         0
   -0.4622    0.6166    1.0000
    0.5824    0.2284         0
    0.2502    0.3978         0
    0.2432    0.5149         0
   -0.3259    0.3987    1.0000
    0.3708    0.2641         0
    0.0146    0.4019    1.0000
    0.6388    0.4211    1.0000
   -0.5317    0.6193    1.0000
    0.3156    0.3885         0
   -0.9350    0.1137         0
    0.4640    0.5107    1.0000
    0.2357    0.2249         0
   -0.7674    0.0926         0
   -0.4735    0.6385    1.0000
   -0.5788    0.2655         0
   -0.7814   -0.0753         0
    0.8583    0.9582    1.0000
    0.4854    0.8202    1.0000
   -0.4564    0.8052    1.0000
   -0.4925    1.0144    1.0000
    0.3169    0.3971         0
    0.0763    0.5622    1.0000
   -0.9859    0.4831         0
   -0.8558    0.1451         0
   -0.5469    0.2496         0
   -0.4693    0.8878    1.0000
    0.2982    0.9345    1.0000
   -0.8891    0.2690         0
   -0.2224    0.8885    1.0000
   -0.5745    0.1862         0
   -0.2866    0.7338    1.0000
    0.6298    0.2815    1.0000
    0.4428    0.5802    1.0000
    0.4396    0.4143         0
    0.3208    0.3272         0
   -0.6057    0.2691         0
    0.4923    0.4688    1.0000
    0.2255    0.4645    1.0000
    0.4845    0.3537         0
   -0.2602    0.8101    1.0000
   -0.1998    0.5430    1.0000
