0.48189,0.89715
0.20198,0.45342
-0.32304,1.3834
0.3605,0.39371
0.76412,-1.0398
1.0317,-0.4083
-1.6507,0.41908
1.7264,-0.39543
-1.1492,-1.3258
0.24915,2.0832
-0.89291,-1.697
0.11538,1.7675
0.34928,-0.6089
0.66515,0.462
-1.0638,-1.4495
0.71464,-0.28888
-0.20048,0.69656
-1.1516,1.0548
1.5567,-1.3383
-2.2724,0.47021
1.6298,-1.2743
-1.5034,-0.64324
0.7158,-1.4792
-1.3449,-0.70295
0.79892,0.77773
-1.5281,-0.2678
0.29864,1.3323
0.88552,-0.53631
1.0069,-0.032863
-1.3944,0.047932
1.2397,-1.2189
-1.5158,-0.45552
1.0552,0.40658
-2.016,0.099059
1.2992,0.22315
-1.5034,-0.64324
0.62804,1.0252
-1.6866,-0.20808
0.93501,-1.2872
0.27505,0.51742
0.14128,0.20169
-0.37137,0.94399
-0.36016,1.9466
1.2644,-1.5943
0.043471,0.51313
0.2998,0.14198
0.2998,0.14198
-0.30835,-1.1849
0.98218,0.34258
-0.16453,1.3237
0.65394,-0.5406
-0.98183,1.9977
1.2891,-1.9698
-0.066714,1.0123
-0.19817,-1.6841
0.73822,0.52601
0.34812,0.58143
0.92148,0.090853
0.4471,-0.92034
-1.1864,-0.76266
0.067055,1.328
-1.2123,0.8031
0.88436,0.65401
-1.0031,-1.1978
-0.017228,0.2614
0.055843,0.32541
0.48305,-0.29317
-1.1616,-1.1381
0.20082,1.6437
0.16603,-0.17375
-0.15216,1.136
0.99571,-1.0355
-1.5765,-0.70724
1.9097,-0.83058
-1.491,-0.83096
0.87315,-0.34859
-1.2471,-1.0144
0.9091,0.27857
-1.5158,-0.45552
0.62804,1.0252
0.66747,-1.9186
0.84957,-1.1635
-1.3572,-0.51523
1.4341,-0.65144
-2.1015,0.22278
0.51901,0.33399
-0.64896,-1.8804
0.017569,2.0789
0.25031,0.89286
0.11654,0.57713
0.32338,0.95687
-1.1616,-1.1381
1.1531,0.095145
-1.7845,0.10335
0.4212,0.64543
0.054684,1.5157
-0.16453,1.3237
1.3734,-0.90317
0.27505,0.51742
0.94622,-0.28459
-0.7603,-0.19092
0.45715,1.2726
-0.66133,-1.6927
0.72585,0.71373
-1.5281,-0.2678
0.60329,1.4006
0.60445,0.21028
